Sample ID,SINLAB NOTES,SINLAB ID,DATE,Row,Amount,CO2 AMPL,N2 AMPL,d13C,d15N,%C,%N,C/N,Comment,Preparation,
NBI2-15,,18MICH 061,20-Jul-18,28,1.175,14.731,3.288,-30.26,7.36,44.24,13.27,3.33,,DELTA V-NC2500,
NBI2-22,,18MICH 062,20-Jul-18,31,1.060,12.856,2.922,-30.16,7.02,42.37,13.10,3.23,,DELTA V-NC2500,
NBI2-3,label reads NBI2-3D,18MICH 063,20-Jul-18,35,1.099,14.048,3.161,-29.08,7.32,45.04,13.69,3.29,,DELTA V-NC2500,
NBI2-8,label reads NBI2-8D,18MICH 064,20-Jul-18,37,1.046,13.880,2.846,-30.41,6.94,46.49,12.91,3.60,,DELTA V-NC2500,
NBI3-01,,18MICH 065,20-Jul-18,38,1.101,13.877,3.208,-31.26,6.73,44.12,13.80,3.20,,DELTA V-NC2500,
NBI3-04,,18MICH 066,20-Jul-18,41,1.073,13.439,3.015,-30.06,7.21,43.71,13.32,3.28,,DELTA V-NC2500,
NBI3-12,,18MICH 067,20-Jul-18,44,1.187,14.572,3.345,-30.61,6.97,43.07,13.34,3.23,,DELTA V-NC2500,
NBI3-19,,18MICH 068,20-Jul-18,45,0.983,12.382,2.665,-29.69,6.90,43.81,12.86,3.41,,DELTA V-NC2500,
NBI3-23,,18MICH 069,20-Jul-18,57,1.130,13.464,3.035,-29.51,7.46,41.80,12.80,3.27,,DELTA V-NC2500,
NBI3-28,,18MICH 070,20-Jul-18,61,1.025,13.070,3.023,-29.27,7.39,44.63,14.03,3.18,,DELTA V-NC2500,
NBI3-29,,18MICH 071,20-Jul-18,81,1.029,13.337,3.025,-30.33,7.24,45.48,14.00,3.25,,DELTA V-NC2500,
NBI3-35,,18MICH 072,31-Jul-18,7,1.071,4.215,3.024,-31.11,7.13,41.67,12.08,3.45,,DELTA V-NC2500,
NBI3-35,,18MICH 072R,31-Jul-18,24,1.041,4.274,3.172,-30.99,7.05,43.39,13.03,3.33,,DELTA V-NC2500,
NBI4-01,,18MICH 073,31-Jul-18,8,1.070,4.429,3.429,-28.27,6.96,43.93,13.70,3.21,,DELTA V-NC2500,
NBI4-03,,18MICH 074,31-Jul-18,9,1.046,4.597,3.440,-28.50,7.05,46.84,14.02,3.34,,DELTA V-NC2500,
NBI4-04,,18MICH 075,31-Jul-18,10,1.033,4.351,3.339,-29.05,6.85,44.59,13.78,3.24,,DELTA V-NC2500,
